x,Curve2
301.37,11.248
311.7,12.605
325.1,15.259
332.91,16.977
339.33,18.967
346.31,21.047
346.31,21.048
356.36,23.942
356.36,23.942
364.17,26.836
364.17,26.837
369.47,29.761
373.09,32.625
376.44,35.64
379.78,38.655
385.36,42.755
389.82,45.77
391.77,47.398
394.27,49.961
399.01,53.488
402.91,56.744
406.54,58.674
411,61.689
416.58,64.583
423.28,67.477
429.97,70.492
436.67,73.266
444.48,76.161
450.62,78.633
457.87,81.196
466.8,84.241
479.36,87.859
491.37,90.995
503.65,93.286
505.88,93.648
521.52,95.578
523.75,95.819
546.1,96.905
549.45,96.905
572.91,97.027
576.27,97.027
599.73,96.666
603.08,96.545
624.31,95.702
648.9,94.376
671.25,92.568
702.54,89.554
720.43,87.263
737.19,84.852
751.73,82.199
768.49,78.944
780.79,76.291
793.09,73.518
804.27,70.624
814.34,67.851
824.4,64.957
833.35,62.184
845.65,58.566
854.59,55.672
863.54,52.899
872.49,50.005
876.96,48.438
885.91,45.544
893.17,43.434
899.33,40.751
906.04,38.791
914.98,35.897
922.53,33.546
931.76,30.109
941.82,27.366
950.77,24.442
951.89,24.322
960.83,21.669
960.83,21.669
964.19,20.704
974.25,17.931
989.35,14.012
1011.71,9.099
1037.42,4.758
1052.51,2.98
1061.45,2.136
1073.74,1.172
1093.85,0.328
