x,Curve1
3735.71,4986.9
3738.92,5149.4
3742.78,5292.9
3748.58,5436.4
3756.95,5530.8
3764.03,5629
3777.56,5719.5
3791.73,5602.2
3805.92,5322.4
3814.3,5012.5
3817.53,4744.2
3829.78,4377.5
3840.75,4007.1
3870.4,3470.2
3883.29,3356.7
3896.18,3247
3905.84,3103.3
3915.51,2952
3923.24,2880.1
3943.86,3008.4
3956.74,3148
3991.52,3140.1
4019.23,3124.7
4029.54,2920.5
4047.59,2667.1
4070.14,2462.8
4084.96,2330.4
4120.39,2545.4
4140.35,2885.2
4146.78,3236.6
4160.3,3580.3
4178.33,3833.2
4196.36,4048.4
4212.46,4259.8
4244.67,4361.5
4285.25,4304.3
4316.18,4285.1
4352.25,4413.2
4373.51,4382.7
4391.55,4220
4397.36,3976
4398,3966.8
4409.61,3781.5
4417.99,3577.4
4423.14,3467.7
4432.18,3052
4443.78,2817.6
4454.1,2568.1
4466.99,2231.6
4476.66,2099.3
4492.78,1777.9
4509.53,1539.7
4526.29,1293.9
4553.36,1070.6
4577.2,941.9
4602.97,813.1
4635.83,748.5
4664.82,759.5
4705.4,808.2
4739.55,822.9
4774.33,799.8
4817.49,942.9
4857.43,1184.3
4887.05,1490
4930.21,1723.8
4981.74,1768.6
5021.69,1753
5042.31,1548.7
5057.77,1423.9
5076.45,1514.3
5083.52,2069.7
5091.88,2530.6
5098.31,2953.7
5098.94,3460.1
5106.64,4287.5
5110.52,3788.7
5115.01,4563.2
5116.28,4978.8
5121.42,5409.5
5122.7,5915.9
5124.61,6494
5128.46,6841.5
5130.38,7329
5138.1,7702.9
5139.37,8016.1
5139.37,8021.1
5142.55,9637.5
5144.5,8919.6
5149,9157.6
5149.61,10389.4
5153.49,10022.8
5161.84,10793.6
5163.76,11141.2
5172.13,11307.3
5186.31,10899.1
5192.12,10479.6
5194.07,10060.1
5199.89,9478.2
5205.06,8937.8
5207.66,8193.4
5217.35,7396
5219.95,6604.4
5222.54,6145.2
5232.88,5102.2
5232.9,5098.9
5241.29,4025.2
5245.18,3322.4
5248.42,2785.8
5263.9,2366.2
5269.71,1980.7
5283.89,1787.8
5305.78,2074.8
5328.96,2376.8
5357.95,2486
5391.45,2474.3
5442.35,2239.5
5473.28,1940.6
5495.84,1762.8
5515.17,1660.5
5558.97,1648.7
5595.05,1599.1
5638.22,1496.6
5658.19,1458.6
5696.84,1635.8
5723.25,1824.4
5745.79,1975.3
5773.49,1997.7
5795.39,2103.2
5812.77,2416.6
5813.41,2460.3
5823.7,3123.1
5829.49,3455.6
5836.56,3946.7
5844.28,4449.1
5850.05,5189.7
5866.14,5831.9
5874.49,6542.1
5882.85,6893.4
5889.93,7002.9
5907.34,6723.1
5911.86,6345.2
5919.6,5940.8
5927.99,5442
5934.45,4965.8
5940.26,4504.7
5948.67,3548.7
5957.06,2917.5
5962.88,2426.3
5970.62,1991.6
5985.45,1583.4
6002.21,1273.4
6024.76,1420.5
6063.4,1661.9
6089.17,1733.4
6120.09,1895.5
6152.93,2212.5
6197.38,2253.6
6278.55,2279.1
6311.41,2392.1
6345.55,2542.8
6379.04,2837.2
6400.29,3059.9
6423.47,3320.3
6451.81,3490.1
6465.34,3493.7
6488.54,3376.3
6500.78,3289.2
6523.98,3054.7
6551.04,2850.4
6587.13,2702.6
6622.56,2603.9
6662.51,2493.9
6699.23,2368.8
6738.53,2194.5
6772.04,2001.5
6799.1,1842.4
6833.25,1611.6
6868.05,1441.1
6900.91,1353.9
6947.29,1436.5
6992.38,1632.4
7032.96,1870
7076.11,2141.6
7112.82,2364.1
7166.93,2514.6
7215.89,2635
7250.03,2846.2
7291.25,3121.6
7326.03,3408.4
7342.13,3589.5
7369.17,3967.1
7385.91,4291.9
7400.72,4616.7
7415.52,5043.5
7429.69,5281.4
7448.37,5496.5
7457.38,5511.5
7479.29,5322.4
7497.34,5023.6
7512.17,4694.7
7535.38,4271.3
7550.85,3915.9
7568.89,3715.4
7599.83,3420.4
7606.28,3129.3
7617.24,2755.1
7627.56,2441.4
7633.37,2082.4
7640.46,1821.6
7650.78,1632.5
7672.67,1919.4
7677.82,2165
7681.03,2440.8
7686.16,3219.1
7688.72,2907.7
7688.74,2913
7697.68,5372.8
7699,4140.1
7699.01,4152.3
7700.89,5799.7
7703.45,6540.3
7706.68,6147.3
7708.56,7651.1
7709.23,6918.1
7713.68,8958.5
7719.49,8357.6
7723.28,9686.7
7723.32,9680.1
7728.42,11335
7730.97,10418.9
7731.02,10379
7733.53,12619.7
7738,13930.8
7738.01,13932.2
7739.95,13103.3
7740.56,14418.2
7743.75,15400.6
7748.92,14777.1
7750.17,15940.9
7752.09,16284.7
7756.59,16598.3
7757.22,16767.7
7760.43,17312.4
7773.31,17440.7
7782.34,17285.7
7786.86,16809.5
7789.46,16295.6
7795.29,15343.3
7799.13,15887.4
7800.46,14806.7
7804.35,14107.6
7806.3,13506.8
7811.49,12343
7811.51,12334.9
7812.11,13049.6
7815.4,10944.8
7820.57,10412
7821.88,9728.1
7823.19,9115.9
7825.14,8447.1
7827.74,7778.3
7834.9,5461.9
7835.49,7150.9
7842.6,6614.3
7842.65,6591.7
7847.17,4498.2
7847.84,3931.4
7852.38,2937.6
7861.42,2238.5
7863.37,1577.2
7869.83,999
7886.6,545.4
7890.47,447.1
7907.86,567.8
7920.09,915.3
7925.23,1126.9
7936.18,1368.6
7949.7,1530.9
7966.45,1640.3
8003.81,1602.1
8019.27,1681.2
8045.04,1809.4
8072.74,1797.8
8101.73,1854.1
8119.11,2129.8
8134.56,2643.5
8144.21,3070.3
8152.57,3338.5
8162.22,3920.3
8162.87,3708.7
8169.3,4181
8175.09,4411.4
8175.72,4645.7
8184.09,4917.6
8184.73,5106.5
8193.09,5367.2
8199.53,5590
8207.9,5775.1
8222.72,5756
8227.23,5563.3
8236.26,5317.6
8245.93,5018.9
8253.03,4678.8
8256.91,4270.7
8262.72,3930.5
8272.4,3450.5
8277.56,3170.9
8284.66,2819.4
8294.34,2343.2
8302.07,2082.3
8311.1,1863.1
8321.41,1730.7
8336.87,1730.5
8351.04,1866.4
8360.7,2210.2
8370.35,2553.9
8381.93,2984.5
8393.51,3562.5
8399.94,3785.4
8407.66,4087.6
8413.46,4284
8417.31,4586.2
8428.26,4778.8
8437.91,4929.9
8446.29,5024.2
8458.53,5016.5
8470.77,4933.3
8473.35,4714.1
8485.61,4385.2
8497.86,3939.2
8507.54,3497
8521.08,3039.6
8523.02,2744.9
8538.5,2382
8551.39,2049.3
8555.26,1981.2
8581.04,1750.5
8614.53,1954.1
8649.31,2089.7
8681.52,2236.7
8710.5,2380
8736.27,2455.3
8751.09,2511.8
8763.97,2417.2
8767.2,2394.5
8778.8,2296.1
